銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"エンバイオ・ホールディング","6092","東証","○","-","-","4,600","-","無","0.00","973","-44","-3.66 %","-","1,062","319,900","-5.25 %","貸借","0.00"
"エスクローＡＪ","6093","東証","○","-","-","1,600","-","無","0.00","257","-1","0.39 %","-","171","154,900","-5.16 %","貸借","0.00"
"フリークアウトＨＬＤＧＳ","6094","東証","○","-","-","800","-","無","2.60","1,732","-8","-2.69 %","-","161","27,300","-6.63 %","信用","0.00"
"メドピア","6095","東証","○","-","-","0","-","無","0.00","3,005","33","0.16 %","-","1,642","408,500","-4.45 %","貸借","0.00"
"レアジョブ","6096","東証","○","-","-","2,900","03/26","有","4.80","2,028","-72","-4.42 %","-","3,134","594,100","-5.45 %","信用","0.00"
"日本ビューホテル","6097","東証","○","-","-","500","10/28","有","0.00","1,367","31","2.01 %","-","216","49,700","-0.29 %","貸借","0.05"
"リクルートホールディングス","6098","東証","○","-","○","157,300","-","無","0.00","3,578.0","-1.0","0.76 %","-","4,218","2,628,100","-0.30 %","貸借","0.00"
"エラン","6099","東証","○","-","-","1,900","-","無","0.00","1,833","-10","-0.81 %","-","895","164,600","-5.85 %","貸借","0.05"
"ツガミ","6101","東証","○","-","○","0","-","無","0.00","873","-25","-2.13 %","-","1,460","911,100","-5.00 %","貸借","0.00"
"オークマ","6103","東証","-","-","○","25,900","-","無","0.00","5,390","-40","-2.00 %","-","598","208,300","-2.35 %","貸借","0.00"
"東芝機械","6104","東証","○","-","○","1,900","-","無","0.00","2,448","18","1.11 %","-","843","143,200","-1.29 %","貸借","0.00"
"小島鉄工所","6112","東証","○","-","-","0","-","無","3.10","997","9","0.91 %","-","3","400","-0.10 %","信用","0.00"
"アマダホールディングス","6113","東証","○","-","○","9,100","-","無","0.00","1,209","-7","-1.06 %","-","1,823","1,611,800","-1.14 %","貸借","0.00"
"アイダエンジニア","6118","東証","-","-","○","77,000","-","無","0.00","809","4","0.49 %","-","614","191,300","-1.34 %","貸借","0.00"
"滝澤鉄工所","6121","東証","○","-","-","200","-","無","0.50","1,402","-1","-1.75 %","-","59","10,100","-1.75 %","信用","0.00"
"岡本工作","6125","東証","○","-","-","400","-","無","2.60","2,303","-15","0.08 %","-","62","9,400","-1.62 %","信用","0.00"
"浜井産業","6131","東証","○","-","-","100","-","無","2.00","708","8","2.16 %","-","9","1,200","-0.14 %","信用","0.00"
"ＦＵＪＩ","6134","東証","-","-","○","47,600","-","無","0.00","1,275","-5","-0.70 %","-","1,194","345,100","-2.07 %","貸借","0.00"
"牧野フライス","6135","東証","○","-","○","4,300","-","無","0.00","4,185","-40","-2.21 %","-","901","259,000","-3.23 %","貸借","0.00"
"オーエスジー","6136","東証","-","-","○","103,100","-","無","0.00","2,052","-30","-1.25 %","-","1,094","245,300","-3.11 %","貸借","0.05"
"旭ダイヤモンド","6140","東証","○","-","○","14,300","-","無","0.00","646","0","0.15 %","-","318","139,000","-1.52 %","貸借","0.00"
"ＤＭＧ森精機","6141","東証","○","-","○","6,500","-","無","0.00","1,592","0","-2.45 %","-","2,904","1,482,800","-2.86 %","貸借","0.05"
"ソデイツク","6143","東証","-","-","○","14,100","-","無","0.00","932","4","-0.63 %","-","693","205,100","-1.06 %","貸借","0.00"
"西部電機","6144","東証","○","-","-","100","03/26","有","3.50","786","-1","-0.12 %","-","15","2,700","-0.75 %","信用","0.00"
"日特エンジニアリング","6145","東証","○","-","-","700","-","無","8.40","2,819","-44","-1.81 %","-","196","26,900","-3.45 %","貸借","0.05"
"ディスコ","6146","東証","○","-","○","400","-","無","0.00","15,910","-150","-0.81 %","-","759","126,300","-5.29 %","貸借","0.00"
"小田原エンジニアリング","6149","東証","○","-","-","300","-","無","8.70","1,970","-15","-1.35 %","-","67","10,900","-2.47 %","信用","0.00"
"日東工器","6151","東証","-","-","○","13,100","-","無","0.00","2,159","-78","-1.86 %","-","80","15,700","-3.78 %","貸借","0.00"
"高松機械工業","6155","東証","○","-","-","400","-","無","2.10","845","9","0.59 %","-","39","10,800","-0.93 %","信用","0.00"
"エーワン精密","6156","東証","○","-","-","0","-","無","0.20","2,898","-43","-2.39 %","-","12","1,400","-2.39 %","信用","0.00"
"日進工具","6157","東証","○","-","-","300","09/25","有","0.00","2,075","-22","-0.95 %","-","81","11,100","-5.98 %","貸借","0.00"
"和井田製作所","6158","東証","○","-","-","600","-","無","2.10","1,289","-14","-0.46 %","-","102","30,400","-2.93 %","信用","0.00"
"エスティック","6161","東証","○","-","-","500","-","無","5.70","5,590","230","-4.60 %","-","216","31,600","-5.41 %","信用","0.00"
"太陽工機","6164","東証","○","-","-","0","-","無","2.30","1,412","-5","-0.35 %","-","40","6,800","-0.63 %","信用","0.00"
"パンチ工業","6165","東証","○","-","-","1,200","-","無","0.00","526","8","0.19 %","-","356","119,800","-2.41 %","貸借","0.00"
"中村超硬","6166","東証","○","-","-","0","-","無","5.80","655","100","0.00 %","-","248","616,300","0.00 %","信用","0.00"
"冨士ダイス","6167","東証","○","-","-","1,600","-","無","0.00","563","-2","-0.70 %","-","421","156,100","-0.88 %","貸借","0.00"
"土木管理総合試験","6171","東証","○","-","-","0","12/25","有","1.30","476","0","-0.41 %","-","62","15,200","-1.65 %","信用","0.00"
"メタップス","6172","東証","○","-","-","9,400","-","無","1.60","1,199","-82","-4.30 %","-","1,705","468,900","-6.69 %","信用","0.00"
"アクアライン","6173","東証","○","-","-","0","-","無","5.90","1,848","4","0.70 %","-","6","900","-8.05 %","信用","0.00"
"ネットマーケティング","6175","東証","○","-","-","1,100","-","無","0.00","481","-15","-2.03 %","-","327","115,400","-9.24 %","貸借","0.00"
"ブランジスタ","6176","東証","○","-","-","800","-","無","7.00","851","-26","-4.16 %","-","95","22,000","-4.38 %","信用","0.00"
"ＡｐｐＢａｎｋ","6177","東証","○","-","-","2,900","12/25","有","0.80","319","-6","-2.44 %","-","170","86,300","-6.17 %","信用","0.00"
"日本郵政","6178","東証","○","-","-","43,500","-","無","0.00","1,207","5","0.66 %","-","2,173","3,732,200","-0.90 %","貸借","0.00"
"ＧＭＯメディア","6180","東証","○","-","-","0","-","無","3.70","1,608","-36","-0.80 %","-","12","2,400","-3.77 %","信用","0.00"
"パートナーエージェント","6181","東証","○","-","-","800","09/25","有","0.00","289","-3","0.69 %","-","146","51,100","-5.86 %","貸借","0.00"
"ロゼッタ","6182","東証","○","-","-","2,400","-","無","4.40","3,840","30","0.13 %","-","910","189,800","-7.24 %","信用","0.00"
"ベルシステム２４ＨＬＤＧＳ","6183","東証","-","-","○","11,900","-","無","0.00","1,514","5","0.86 %","-","525","105,300","-1.23 %","貸借","0.00"
"鎌倉新書","6184","東証","○","-","-","7,100","-","無","9.90","1,415","-32","-1.11 %","-","2,774","700,900","-7.51 %","貸借","0.00"
"ソネット・メディア・ネットワー","6185","東証","○","-","-","800","-","無","3.50","755","-20","-6.21 %","-","174","36,400","-6.90 %","信用","0.00"
"一蔵","6186","東証","○","-","-","200","03/26","有","1.70","661","12","1.38 %","-","34","7,400","0.00 %","信用","0.00"
"ＬＩＴＡＬＩＣＯ","6187","東証","○","-","-","1,200","-","無","0.00","1,877","49","1.02 %","-","487","119,500","-1.21 %","貸借","0.00"
"富士ソフトサービスビュー","6188","東証","○","-","-","1,200","-","無","1.40","312","-2","-3.10 %","-","100","36,300","-4.29 %","信用","0.00"
"グローバルキッズＣＯＭＰ","6189","東証","○","-","-","400","-","無","2.20","964","-10","-1.12 %","-","76","13,600","-2.72 %","信用","0.00"
"フェニックスバイオ","6190","東証","○","-","-","300","-","無","2.40","808","0","-0.12 %","-","43","8,100","-3.00 %","信用","0.00"
"エボラブルアジア","6191","東証","○","-","-","4,000","09/25","有","7.70","2,373","0","0.33 %","-","609","110,200","-7.95 %","信用","0.00"
"ハイアス・アンド・カンパニー","6192","東証","○","-","-","1,200","-","無","0.00","293","-2","0.00 %","-","134","84,500","-7.86 %","貸借","0.00"
"バーチャレクスＨＬＤＧＳ","6193","東証","○","-","-","4,100","-","無","3.10","898","-7","-1.53 %","-","392","90,100","-12.04 %","信用","0.00"
"アトラエ","6194","東証","○","-","-","1,700","-","無","8.50","2,642","247","7.66 %","-","1,671","302,500","-2.11 %","信用","0.00"
"ホープ","6195","東証","○","-","-","0","06/25","有","3.60","1,762","28","-0.16 %","-","58","9,300","-1.56 %","信用","0.00"
"ストライク","6196","東証","○","-","-","600","08/27","有","7.80","2,053","-6","0.29 %","-","345","58,600","-3.61 %","貸借","0.00"
"ソラスト","6197","東証","○","-","-","4,800","-","無","0.60","950","-31","-1.65 %","-","747","239,100","-4.33 %","信用","0.00"
"キャリア","6198","東証","○","-","-","600","09/25","有","3.40","605","-6","-1.62 %","-","129","30,900","-4.72 %","信用","0.00"
"セラク","6199","東証","○","-","-","400","-","無","0.00","617","0","1.48 %","-","70","18,500","-3.74 %","貸借","0.00"
"豊田自動織機","6201","東証","○","-","○","13,000","-","無","0.00","5,830","40","0.17 %","-","761","369,900","-1.35 %","貸借","0.00"
"豊和工業","6203","東証","○","-","-","7,600","-","無","0.00","878","30","3.53 %","-","2,161","761,800","-3.83 %","貸借","0.00"
"ＯＫＫ","6205","東証","○","-","-","200","-","無","0.00","760","5","0.13 %","-","49","13,300","-1.04 %","貸借","0.00"
"石川製作所","6208","東証","○","-","-","3,400","-","無","9.70","1,600","126","8.03 %","-","5,284","1,208,900","-7.40 %","貸借","0.00"
"東洋機械金属","6210","東証","○","-","-","200","03/26","有","0.00","590","-3","0.34 %","-","62","15,700","-1.00 %","貸借","0.00"
"津田駒工業","6217","東証","○","-","-","200","-","無","0.00","1,559","25","0.64 %","-","92","16,300","-1.57 %","貸借","0.00"
"エンシュウ","6218","東証","○","-","-","200","-","無","0.00","1,114","4","-0.62 %","-","83","17,400","-1.50 %","貸借","0.00"
"島精機製作所","6222","東証","○","-","○","400","09/25","有","0.00","3,065","-45","-0.32 %","-","255","62,500","-2.38 %","貸借","0.00"
"自律制御システム研究","6232","東証","○","-","-","600","-","無","4.40","4,500","-240","-4.45 %","-","999","184,700","-7.59 %","信用","0.00"
"極東産機","6233","東証","○","-","-","500","-","無","1.80","632","-22","-2.76 %","-","106","23,300","-7.19 %","信用","0.00"
"オプトラン","6235","東証","○","-","-","2,700","-","無","0.00","2,137","-25","-2.42 %","-","1,910","440,400","-3.73 %","貸借","0.00"
"ＮＣホールディングス","6236","東証","○","-","-","100","-","無","0.30","487","2","0.41 %","-","7","2,000","-0.40 %","信用","0.00"
"イワキポンプ","6237","東証","○","-","-","100","-","無","0.00","1,031","-4","-3.19 %","-","271","63,000","-5.32 %","貸借","0.00"
"フリュー","6238","東証","○","-","-","2,400","03/26","有","0.00","1,162","-19","-2.92 %","-","542","190,900","-3.88 %","貸借","0.00"
"ナガオカ","6239","東証","○","-","-","500","-","無","1.80","794","-19","-2.57 %","-","103","22,600","-4.91 %","信用","0.00"
"ヤマシンフィルタ","6240","東証","○","-","-","4,400","09/25","有","0.00","629","11","0.64 %","-","858","433,500","-1.56 %","貸借","0.05"
"ヒラノテクシード","6245","東証","○","-","-","200","-","無","0.00","1,644","18","0.79 %","-","112","17,700","-1.43 %","貸借","0.00"
"テクノスマート","6246","東証","○","-","-","200","-","無","0.00","675","-11","-1.60 %","-","62","12,500","-2.59 %","貸借","0.00"
"日阪製作所","6247","東証","-","-","○","30,000","-","無","0.00","868","-10","-0.11 %","-","53","24,200","-3.01 %","貸借","0.05"
"横田製作所","6248","東証","○","-","-","100","-","無","1.80","1,015","7","0.00 %","-","1","600","-1.55 %","信用","0.00"
"ゲームカード・ジョイコＨＤ","6249","東証","○","-","-","2,000","03/26","有","3.50","1,275","5","-0.15 %","-","7","900","-0.31 %","信用","0.00"
"やまびこ","6250","東証","○","-","○","6,700","-","無","0.00","919","-3","0.10 %","-","232","60,900","-1.71 %","貸借","0.00"
"野村マイクロ・サイエンス","6254","東証","○","-","-","600","-","無","3.40","645","34","5.56 %","-","124","29,400","0.00 %","信用","0.00"
"エヌ・ピー・シー","6255","東証","○","-","-","4,800","-","無","0.00","265","-6","-2.57 %","-","521","474,500","-3.98 %","貸借","0.00"
"ニューフレアテクノロジー","6256","東証","○","-","-","200","-","無","4.50","6,620","-80","-1.63 %","-","38","5,300","-3.21 %","信用","0.00"
"藤商事","6257","東証","○","-","-","200","-","無","0.00","940","0","0.00 %","-","83","16,100","-0.42 %","貸借","0.00"
"平田機工","6258","東証","○","-","-","2,900","03/26","有","0.00","5,840","220","0.34 %","-","1,201","289,200","-2.34 %","貸借","0.10"
"ペガサスミシン製造","6262","東証","○","-","-","600","03/26","有","0.00","553","-6","-0.18 %","-","166","45,100","-1.25 %","貸借","0.00"
"マルマエ","6264","東証","○","-","-","700","08/27","有","3.40","661","-6","-1.04 %","-","202","39,400","-4.06 %","貸借","0.00"
"妙徳","6265","東証","○","-","-","0","-","無","1.10","1,825","0","0.00 %","-","1","100","0.00 %","信用","0.00"
"タツモ","6266","東証","○","-","-","700","-","無","0.00","759","-8","-1.55 %","-","213","44,800","-6.75 %","貸借","0.00"
"ナブテスコ","6268","東証","-","-","○","3,800","-","無","0.00","2,865","-55","-1.37 %","-","2,743","935,600","-4.97 %","貸借","0.00"
"三井海洋開発","6269","東証","○","-","○","2,000","-","無","0.00","3,035","38","1.16 %","-","586","123,600","-5.89 %","貸借","0.05"
"ニッセイ","6271","東証","○","-","-","100","-","無","0.00","1,232","17","-0.24 %","-","12","3,800","-0.24 %","貸借","0.00"
"レオン自動機","6272","東証","-","-","○","7,500","-","無","0.00","1,806","44","0.89 %","-","717","133,300","-0.66 %","貸借","0.05"
"ＳＭＣ","6273","東証","○","-","○","800","-","無","0.00","39,000","-170","0.12 %","-","786","138,800","-0.91 %","貸借","0.00"
"新川","6274","東証","○","-","-","1,600","-","無","0.00","368","-7","-1.07 %","-","270","150,100","-4.90 %","貸借","0.00"
"ナビタス","6276","東証","○","-","-","300","-","無","1.50","436","-3","0.00 %","-","12","2,300","-2.89 %","信用","0.00"
"ホソカワミクロン","6277","東証","-","-","○","7,600","09/25","有","0.00","4,395","-100","-2.22 %","-","148","22,400","-2.33 %","貸借","0.00"
"ユニオンツール","6278","東証","-","○","-","0","12/25","有","0.00","2,725","17","0.59 %","-","304","83,500","-1.66 %","貸借","0.05"
"瑞光","6279","東証","○","-","-","100","-","無","0.00","3,470","105","4.04 %","-","27","5,100","0.00 %","貸借","0.05"
"前田製作所","6281","東証","○","-","-","200","-","無","1.90","432","-7","-1.59 %","-","18","5,700","-2.48 %","信用","0.00"
"オイレス工業","6282","東証","-","-","○","29,300","03/26","有","0.00","1,553","-23","-1.20 %","-","308","56,900","-2.08 %","貸借","0.00"
"日精エーエスビー","6284","東証","○","-","-","200","-","無","0.00","2,525","1","-0.62 %","-","245","34,300","-1.75 %","貸借","0.00"
"静甲","6286","東証","○","-","-","100","-","無","1.80","562","3","0.71 %","-","4","600","-0.17 %","信用","0.00"
"サト－ホールディングス","6287","東証","-","-","○","33,600","-","無","0.00","2,737","-13","-0.36 %","-","448","92,100","-1.58 %","貸借","0.00"
"技研製作所","6289","東証","○","-","-","500","-","無","0.00","3,300","10","1.07 %","-","233","51,000","-0.45 %","貸借","0.00"
"日本エアーテック","6291","東証","○","-","-","200","-","無","0.60","570","0","0.00 %","-","19","7,400","-1.89 %","信用","0.00"
"カワタ","6292","東証","○","-","-","700","09/25","有","2.20","985","-1","0.10 %","-","152","32,500","-2.66 %","信用","0.00"
"日精樹脂工業","6293","東証","○","-","○","1,600","03/26","有","0.00","931","-11","-1.68 %","-","109","19,500","-2.91 %","貸借","0.00"
"オカダアイヨン","6294","東証","○","-","-","400","03/26","有","0.00","1,212","-5","-0.41 %","-","128","22,600","-2.02 %","貸借","0.00"
"鉱研工業","6297","東証","○","-","-","700","-","無","0.00","506","17","2.42 %","-","174","62,100","-1.93 %","貸借","0.00"
"ワイエイシイホールディングス","6298","東証","○","-","-","600","-","無","0.00","876","-14","-1.01 %","-","211","53,000","-2.44 %","貸借","0.00"
"神鋼環境ソリューション","6299","東証","○","-","-","300","-","無","0.00","1,740","-22","-1.91 %","-","5","23,300","-1.91 %","貸借","0.00"
"アピックヤマダ","6300","東証","○","-","-","800","-","無","3.20","569","1","0.00 %","-","4","3,700","0.00 %","信用","0.00"
"小松製作所","6301","東証","○","-","○","7,700","09/25","有","0.00","2,539.5","19.5","0.89 %","-","10,245","5,836,400","-0.76 %","貸借","0.00"
"住友重機械","6302","東証","○","-","○","2,600","-","無","0.00","3,640","30","0.00 %","-","1,139","566,800","-1.48 %","貸借","0.00"
"ササクラ","6303","東証","○","-","-","0","-","無","3.20","2,385","-49","-0.08 %","-","5","700","-2.01 %","信用","0.00"
"日立建機","6305","東証","○","-","○","4,000","-","無","0.00","2,798","-23","-0.10 %","-","2,368","909,100","-1.96 %","貸借","0.05"
"日工","6306","東証","-","-","○","6,000","-","無","0.00","2,762","-23","-1.00 %","-","104","27,300","-1.35 %","貸借","0.00"
"サンセイ","6307","東証","○","-","-","1,300","-","無","1.60","469","-13","1.51 %","-","336","91,200","-7.49 %","信用","0.00"
"巴工業","6309","東証","-","-","○","4,700","10/28","有","0.00","2,361","0","0.59 %","-","24","5,100","-0.63 %","信用","0.00"
"井関農機","6310","東証","-","-","○","4,700","-","無","0.00","1,533","9","0.45 %","-","183","30,100","-1.66 %","貸借","0.00"
"フロイント産業","6312","東証","○","-","-","600","08/27","有","3.50","855","15","-0.58 %","-","83","26,800","-0.58 %","信用","0.00"
"ＴＯＷＡ","6315","東証","○","-","-","2,000","-","無","0.00","770","-19","-2.03 %","-","477","159,500","-4.10 %","貸借","0.00"
"丸山製作所","6316","東証","○","-","-","100","-","無","0.00","1,114","8","0.90 %","-","20","2,700","-0.08 %","貸借","0.00"
"北川鉄工所","6317","東証","-","-","○","10,900","-","無","0.00","2,095","-26","-0.28 %","-","74","12,800","-1.82 %","貸借","0.00"
"シンニッタン","6319","東証","○","-","-","200","-","無","0.10","322","3","0.94 %","-","43","7,900","-1.22 %","信用","0.00"
"タクミナ","6322","東証","○","-","-","400","-","無","3.20","1,914","45","0.73 %","-","17","19,400","-1.79 %","信用","0.00"
"ローツェ","6323","東証","○","-","-","700","-","無","6.70","2,156","1","-1.28 %","-","446","72,300","-3.44 %","信用","0.00"
"ハーモニック・ドライブ・シス","6324","東証","○","-","-","4,500","-","無","17.40","3,910","-145","-1.88 %","-","1,174","289,300","-8.96 %","貸借","0.10"
"クボタ","6326","東証","○","-","○","9,900","-","無","0.00","1,775.0","8.0","0.14 %","-","4,584","2,301,000","-0.81 %","貸借","0.05"
"北川精機","6327","東証","○","-","-","3,300","-","無","2.00","500","-12","-0.99 %","-","214","91,000","-6.36 %","信用","0.00"
"荏原実業","6328","東証","-","-","○","1,700","-","無","0.00","2,040","25","1.09 %","-","122","23,800","-0.09 %","貸借","0.00"
"東洋エンジニア","6330","東証","○","-","-","5,900","-","無","0.00","487","-3","-2.20 %","-","4,184","2,827,300","-14.26 %","貸借","0.00"
"三菱化工機","6331","東証","○","-","-","300","-","無","0.00","1,649","-4","-0.24 %","-","67","10,300","-2.36 %","貸借","0.00"
"月島機械","6332","東証","-","-","○","38,500","09/25","有","0.00","1,282","-38","-6.83 %","-","332","78,100","-6.83 %","貸借","0.05"
"帝国電機製作所","6333","東証","-","-","○","15,200","03/26","有","0.00","1,241","-30","-0.72 %","-","206","42,100","-3.12 %","貸借","0.00"
"明治機械","6334","東証","○","-","-","1,500","-","無","1.60","310","4","1.30 %","-","109","71,700","-2.51 %","信用","0.00"
"東京機械","6335","東証","○","-","-","0","-","無","0.00","417","-2","-0.47 %","-","42","11,100","-1.88 %","貸借","0.00"
"石井表記","6336","東証","○","-","-","300","-","無","1.70","481","3","0.62 %","-","15","2,900","-3.02 %","信用","0.00"
"テセック","6337","東証","○","-","-","400","-","無","2.90","907","-29","-3.40 %","-","103","19,900","-4.02 %","信用","0.00"
"タカトリ","6338","東証","○","-","-","100","-","無","0.00","515","7","0.98 %","-","24","5,000","-0.57 %","貸借","0.00"
"新東工業","6339","東証","○","-","-","500","09/25","有","0.00","936","-13","-1.36 %","-","167","49,400","-2.29 %","貸借","0.00"
"渋谷工業","6340","東証","-","-","○","19,700","-","無","0.00","2,892","-40","-0.89 %","-","238","37,900","-2.33 %","貸借","0.00"
"フリージアマクロス","6343","東証","○","-","-","300","-","無","1.10","117","0","0.86 %","-","19","9,400","-1.68 %","貸借","0.00"
"アイチコーポレーション","6345","東証","○","-","-","1,000","-","無","0.00","671","5","0.90 %","-","200","56,300","-1.17 %","貸借","0.00"
"キクカワエンタープライズ","6346","東証","○","-","-","0","-","無","8.70","4,060","-90","-3.10 %","-","24","4,600","-4.24 %","信用","0.00"
"プラコー","6347","東証","○","-","-","200","-","無","3.70","715","0","-0.13 %","-","13","6,000","-1.92 %","信用","0.00"
"小森コーポレーション","6349","東証","-","-","○","74,900","-","無","0.00","1,171","-17","-0.50 %","-","625","146,700","-4.40 %","貸借","0.00"
"鶴見製作所","6351","東証","-","-","○","18,500","-","無","0.00","1,970","-30","-1.15 %","-","21","6,100","-3.24 %","貸借","0.05"
"住友精密","6355","東証","-","-","○","3,800","-","無","0.00","2,783","13","-0.25 %","-","26","4,400","-0.96 %","貸借","0.00"
"日本ギア工業","6356","東証","○","-","-","500","09/25","有","0.00","481","1","-0.61 %","-","117","40,700","-1.02 %","貸借","0.00"
"三精テクノロジーズ","6357","東証","○","-","-","2,600","-","無","0.00","1,153","-12","-0.60 %","-","418","74,100","-3.83 %","貸借","0.00"
"酒井重工業","6358","東証","○","-","-","100","-","無","0.00","2,492","-22","-0.51 %","-","73","9,500","-2.04 %","貸借","0.00"
"東京自働機械","6360","東証","○","-","-","200","-","無","4.10","1,632","-59","0.00 %","-","1","200","-3.48 %","信用","0.00"
"荏原製作所","6361","東証","○","-","○","1,100","-","無","0.00","2,934","-5","-0.40 %","-","1,578","447,400","-0.94 %","貸借","0.00"
"石井鉄工所","6362","東証","○","-","○","800","-","無","0.00","1,999","1","-0.24 %","-","10","1,500","-0.44 %","貸借","0.00"
"酉島製作所","6363","東証","-","-","○","13,000","-","無","0.00","1,031","-6","1.97 %","-","87","21,600","-6.27 %","貸借","0.05"
"北越工業","6364","東証","-","-","○","18,700","-","無","0.00","1,191","-6","-0.75 %","-","215","44,000","-1.24 %","貸借","0.00"
"電業社","6365","東証","○","-","-","300","03/26","有","5.00","2,109","11","0.09 %","-","2","900","0.00 %","信用","0.00"
"千代田化工建","6366","東証","○","-","-","26,500","-","無","2.40","302","-6","-0.98 %","-","1,019","2,491,300","-5.91 %","貸借","0.05"
"ダイキン工業","6367","東証","○","-","○","900","-","無","0.00","13,850","0","-0.14 %","-","1,331","456,900","-1.94 %","貸借","0.25"
"オルガノ","6368","東証","-","-","○","8,700","-","無","0.00","3,585","55","0.98 %","-","172","34,900","-1.78 %","貸借","0.00"
"ト－ヨ－カネツ","6369","東証","-","-","○","8,600","-","無","0.00","2,062","-20","1.07 %","-","280","46,000","-4.66 %","貸借","0.00"
"栗田工業","6370","東証","○","-","○","2,600","09/25","有","0.00","2,658","11","-0.67 %","-","1,474","403,600","-1.44 %","貸借","0.00"
"椿本チエイン","6371","東証","-","-","○","23,800","-","無","0.00","3,420","0","-0.43 %","-","201","46,900","-2.14 %","貸借","0.00"
"大同工業","6373","東証","○","-","-","100","-","無","0.00","852","13","0.47 %","-","26","7,800","-0.93 %","貸借","0.00"
"日機装","6376","東証","-","-","○","20,400","-","無","0.00","1,381","-63","-4.16 %","-","1,436","473,400","-5.08 %","貸借","0.05"
"木村化工機","6378","東証","○","-","-","200","-","無","0.00","330","4","0.00 %","-","63","15,300","-1.78 %","貸借","0.00"
"新興プランテック","6379","東証","-","-","○","43,300","-","無","0.00","1,287","30","1.33 %","-","791","202,000","-1.00 %","貸借","0.00"
"オリエンタルチエン","6380","東証","○","-","-","100","-","無","2.20","838","-4","-0.11 %","-","4","900","-0.47 %","信用","0.00"
"アネスト岩田","6381","東証","-","-","○","38,300","-","無","0.00","963","-6","-0.72 %","-","79","15,600","-0.92 %","貸借","0.00"
"トリニテイ工業","6382","東証","○","-","-","100","-","無","1.50","656","10","1.54 %","-","19","3,300","-1.35 %","信用","0.00"
"ダイフク","6383","東証","-","-","○","14,500","-","無","0.00","5,970","70","1.53 %","-","1,760","1,106,300","-1.80 %","貸借","0.00"
"昭和真空","6384","東証","○","-","-","200","-","無","3.30","1,200","-4","-0.33 %","-","49","9,100","-3.22 %","信用","0.00"
"サムコ","6387","東証","○","-","-","300","01/28","有","1.00","808","-4","0.00 %","-","34","6,400","-0.85 %","信用","0.00"
"加藤製作所","6390","東証","○","-","○","1,000","-","無","0.00","1,946","-8","-0.81 %","-","302","49,300","-2.21 %","貸借","0.00"
"加地テック","6391","東証","○","-","-","0","-","無","2.90","2,593","-23","0.00 %","-","1","300","-1.85 %","信用","0.00"
"ヤマダコーポレーション","6392","東証","○","-","-","100","-","無","2.80","2,400","0","0.00 %","-","2","500","-0.41 %","信用","0.00"
"油研工業","6393","東証","-","-","○","4,300","-","無","0.00","1,646","-17","0.00 %","-","48","6,000","-1.08 %","貸借","0.00"
"タダノ","6395","東証","-","-","○","34,200","-","無","0.00","1,108","-4","0.00 %","-","1,853","758,000","-1.94 %","貸借","0.00"
"不二精機","6400","東証","○","-","-","100","-","無","1.30","315","0","0.63 %","-","7","4,900","-1.25 %","信用","0.00"
"兼松エンジニアリング","6402","東証","○","-","-","200","-","無","0.90","1,110","10","-1.68 %","-","23","6,200","-1.68 %","信用","0.00"
"水道機工","6403","東証","○","-","-","0","-","無","5.00","2,427","17","0.24 %","-","69","9,800","-1.66 %","信用","0.00"
"鈴茂器工","6405","東証","○","-","-","0","-","無","2.00","1,235","9","-0.16 %","-","13","1,300","-1.98 %","信用","0.00"
"フジテック","6406","東証","-","-","○","90,100","-","無","0.00","1,400","-19","-0.77 %","-","368","92,200","-2.50 %","貸借","0.00"
"ＣＫＤ","6407","東証","○","-","○","7,400","09/25","有","0.00","1,028","-21","-1.90 %","-","929","286,500","-4.37 %","貸借","0.00"
"小倉クラッチ","6408","東証","○","-","-","200","-","無","3.50","3,000","40","0.00 %","-","2","200","-0.66 %","信用","0.00"
"キトー","6409","東証","-","-","○","11,900","-","無","0.00","1,643","-58","-3.52 %","-","470","93,000","-3.86 %","貸借","0.00"
"平和","6412","東証","○","-","○","14,500","09/25","有","0.00","2,244","15","-0.04 %","-","957","220,800","-1.18 %","貸借","0.00"
"理想科学工業","6413","東証","-","-","○","23,000","-","無","0.00","1,658","-12","-0.71 %","-","62","12,200","-1.48 %","貸借","0.05"
"桂川電機","6416","東証","○","-","-","100","-","無","1.70","0","0","-","-","0","0","-","信用","0.00"
"ＳＡＮＫＹＯ","6417","東証","○","-","○","2,700","09/25","有","0.00","3,960","5","0.25 %","-","542","197,400","-3.17 %","貸借","0.10"
"日本金銭機械","6418","東証","○","-","-","800","-","無","0.00","1,097","-12","-1.79 %","-","280","71,700","-3.26 %","貸借","0.00"
"マースグループＨＬＤＧＳ","6419","東証","-","-","○","15,000","03/26","有","0.00","2,025","-9","-2.12 %","-","68","11,300","-2.50 %","貸借","0.00"
"福島工業","6420","東証","-","-","○","2,300","03/26","有","0.00","3,525","-10","0.57 %","-","51","10,400","-1.12 %","貸借","0.00"
"高見沢サイバネティックス","6424","東証","○","-","-","0","03/26","有","3.30","1,270","-18","-1.16 %","-","27","3,200","-3.56 %","信用","0.00"
